,abs_mean_corr,mean_corr,std_corr,positive_era_proportion
feature_aberdeen_tangled_providence,0.00980020449287597,-0.00980020449287597,0.022443196475438583,0.2847222222222222
feature_aberrant_frustrate_drosophila,0.0014545195375078245,0.0014545195375078245,0.01658792781146605,0.5069444444444444
feature_absent_herpetological_genitor,0.002002538251358955,0.002002538251358955,0.019446580248847305,0.5416666666666666
feature_abstersive_emotional_misinterpreter,0.0019907270951161375,0.0019907270951161375,0.014597158280452384,0.5486111111111112
feature_accessorial_aroused_crochet,0.0017855009452143779,0.0017855009452143779,0.021783299555428355,0.4930555555555556
feature_accountable_ethnographic_counterexample,0.0001734500890500291,0.0001734500890500291,0.017428106166580897,0.4861111111111111
feature_accusatory_disinfectant_deportment,0.0040673384724711735,-0.0040673384724711735,0.023892979950031024,0.4375
feature_acerb_venusian_piety,0.0037182578420225463,0.0037182578420225463,0.015725814791715656,0.5833333333333334
feature_acoustical_infirm_ascent,0.0007064662927685468,-0.0007064662927685468,0.01871683851422014,0.5208333333333334
feature_acquirable_helvetic_tercel,0.0005442121865724207,-0.0005442121865724207,0.013378634334983944,0.4652777777777778
feature_adducent_ailing_gene,0.0018284903816048687,0.0018284903816048687,0.020081074480561737,0.5
feature_adept_unsensitive_hieroglyph,0.0038912932878928256,0.0038912932878928256,0.018362213893755062,0.6041666666666666
feature_adventive_eristic_wedlock,0.0005142450544141332,-0.0005142450544141332,0.019392979877453528,0.4861111111111111
feature_adynamic_glossier_ghana,0.002637468232206313,-0.002637468232206313,0.015202195620212225,0.4027777777777778
feature_aesthetical_daltonian_anemology,0.0077169955004580005,-0.0077169955004580005,0.022011099784512468,0.3611111111111111
feature_affable_yellow_terne,0.0024508188451427913,-0.0024508188451427913,0.01968669706685919,0.4513888888888889
feature_affined_pushier_haranguer,0.006058595623854171,0.006058595623854171,0.019712365876038623,0.625
feature_affricative_bromic_raftsman,0.002518525706443829,0.002518525706443829,0.0133581809475459,0.5486111111111112
feature_afloat_brickiest_supernationalism,0.002128926222246046,0.002128926222246046,0.01676435958896573,0.5277777777777778
feature_aggrieved_rammish_tommy,0.010483873810025378,0.010483873810025378,0.021988660224709234,0.6875
feature_agile_unrespited_gaucho,0.011057411047662809,0.011057411047662809,0.021128036074067012,0.6944444444444444
feature_agronomic_cryptal_advisor,0.00011824826754992182,0.00011824826754992182,0.02410211720344825,0.4930555555555556
feature_airborne_genitival_cathouse,0.009337024929193019,0.009337024929193019,0.018489315895126226,0.6805555555555556
feature_aliped_subclavicular_nasopharynx,0.007644026743025927,0.007644026743025927,0.018923819812658355,0.6597222222222222
feature_alkaline_pistachio_sunstone,0.0007428125604171684,0.0007428125604171684,0.023620651378996965,0.5
feature_alleviatory_novercal_semivowel,0.0008640330853267747,0.0008640330853267747,0.019321007093134127,0.4861111111111111
feature_alloyed_copyright_protium,0.002277697454922333,0.002277697454922333,0.017687235806098076,0.5694444444444444
feature_aloetic_presented_scarer,0.009342482287620593,0.009342482287620593,0.019171442950364045,0.7152777777777778
feature_altern_unnoticed_impregnation,0.0012713901118802272,-0.0012713901118802272,0.015345926896354013,0.4791666666666667
feature_ambisexual_boiled_blunderer,0.010582564216709452,-0.010582564216709452,0.026648829364356516,0.3541666666666667
feature_amoebaean_wolfish_heeler,0.0032932011784133053,0.0032932011784133053,0.019239319573378096,0.5694444444444444
feature_amoebic_scarabaeid_gypsum,0.009677119480290534,0.009677119480290534,0.020528934942236253,0.7152777777777778
feature_amphictyonic_secretarial_induline,0.00189258398015337,0.00189258398015337,0.01721996040628437,0.5625
feature_amygdaloidal_intersectional_canonry,0.009886693614387154,0.009886693614387154,0.01901900401758437,0.6597222222222222
feature_anoxic_froward_europe,0.005291007167684718,0.005291007167684718,0.022747094348637923,0.6041666666666666
feature_antarthritic_rhinocerotic_marquette,0.006983637637011212,-0.006983637637011212,0.022033523071466745,0.3472222222222222
feature_antediluvial_contributive_statecraft,0.0022086578393664107,0.0022086578393664107,0.013089303108580357,0.5416666666666666
feature_antichristian_slangiest_idyllist,0.009084605364350243,-0.009084605364350243,0.028397610306404007,0.375
feature_antinomical_swart_coo,0.0002881191175118443,0.0002881191175118443,0.011805477706997783,0.5486111111111112
feature_antipathetical_terrorful_ife,0.0017687967328866567,0.0017687967328866567,0.01691273634724205,0.5277777777777778
feature_antiperspirant_degradable_voltaire,0.0005697612208914641,0.0005697612208914641,0.021383989557564733,0.5069444444444444
feature_antiphrastical_tipsy_chinquapin,0.003063049860516443,0.003063049860516443,0.014915647931497428,0.5833333333333334
feature_antipodal_unable_thievery,0.005749095706910345,-0.005749095706910345,0.01880749981452928,0.4236111111111111
feature_antiscorbutic_visored_convalescent,0.006639863403474388,-0.006639863403474388,0.02132649889588632,0.3958333333333333
feature_antisubmarine_foregoing_cryosurgery,0.004745606539062644,0.004745606539062644,0.01588495868973196,0.625
feature_apogamic_obeisant_pondicherry,0.012387144359017591,0.012387144359017591,0.022803317275749132,0.6666666666666666
feature_apomictical_motorized_vaporisation,0.009166063730278255,0.009166063730278255,0.018422437271295028,0.6666666666666666
feature_apophthegmatical_catechetical_millet,0.0012467825121092741,-0.0012467825121092741,0.0252053784445953,0.4722222222222222
feature_apostate_impercipient_knighthood,0.002740162820342952,0.002740162820342952,0.017381176451395308,0.5555555555555556
feature_appalachian_realistic_butyrate,0.002832797535166077,0.002832797535166077,0.021383654276318095,0.5625
feature_appraisive_anagrammatical_tentacle,0.0010172548074878383,-0.0010172548074878383,0.017874949522397952,0.4861111111111111
feature_arborescent_fungal_despiser,0.0010814549105941163,0.0010814549105941163,0.017874909215560637,0.5069444444444444
feature_archaean_seething_hoyle,0.007269197046902638,-0.007269197046902638,0.020487548952794952,0.3819444444444444
feature_architectonic_godlier_southland,0.0006656987653101827,-0.0006656987653101827,0.01886357334570861,0.4791666666666667
feature_arillate_nickelic_hemorrhage,0.0011907198200051677,0.0011907198200051677,0.015012463034238161,0.5347222222222222
feature_aristotelian_eurasian_nooky,0.0077361809971243905,0.0077361809971243905,0.020314893778229186,0.6527777777777778
feature_arithmetic_delicate_pantagruelist,0.0007879756710469934,-0.0007879756710469934,0.018025365122904057,0.4444444444444444
feature_arizonan_endurable_daw,0.00600242383287496,0.00600242383287496,0.01690218859358033,0.6319444444444444
feature_armoured_finable_skywriter,0.004846878141924645,0.004846878141924645,0.0165463856591281,0.625
feature_articulated_shamefaced_orzo,0.0013978133061626622,-0.0013978133061626622,0.012623104808486012,0.4305555555555556
feature_assenting_darn_arthropod,0.013095827989462648,-0.013095827989462648,0.020630055070995575,0.2777777777777778
feature_assertive_worsened_scarper,0.002044084493447871,0.002044084493447871,0.009863734660472861,0.5902777777777778
feature_astronomic_gripple_culverin,0.004565715003540392,-0.004565715003540392,0.021385927655819918,0.3958333333333333
feature_atlantic_uveal_incommunicability,0.0015515262128826892,0.0015515262128826892,0.0162142816199932,0.5625
feature_attainable_solonian_impropriator,0.005364062038384726,0.005364062038384726,0.0180058534888529,0.6597222222222222
feature_attributable_shagged_nourishment,0.009730700351431134,0.009730700351431134,0.01929872898988293,0.6944444444444444
feature_attuned_southward_heckle,0.0012343676874115577,0.0012343676874115577,0.022547552566404405,0.5347222222222222
feature_auroral_glary_quamash,3.287218888135486e-05,3.287218888135486e-05,0.012943689705098226,0.4791666666666667
feature_autarkic_constabulary_dukedom,0.0001773632199726033,0.0001773632199726033,0.01871731889079812,0.5069444444444444
feature_autodidactic_gnarlier_pericardium,0.0010820251740658012,-0.0010820251740658012,0.018605697968731204,0.4513888888888889
feature_auxetic_cholagogue_sexton,0.0008828441070600413,0.0008828441070600413,0.015059429210378101,0.5
feature_avowed_cloying_anthropologist,0.009213161125249768,0.009213161125249768,0.021438351781963485,0.6458333333333334
feature_axillary_reluctant_shorty,0.011132589565767969,0.011132589565767969,0.02376010865054863,0.6944444444444444
feature_aztecan_encomiastic_pitcherful,9.263940554427605e-06,9.263940554427605e-06,0.015731743371437578,0.5138888888888888
feature_backswept_cryptogenic_baku,0.003950086226082109,0.003950086226082109,0.01806133470528046,0.5902777777777778
feature_baldish_cognitional_naha,0.0034995494159985436,-0.0034995494159985436,0.01780543061310066,0.4444444444444444
feature_bareheaded_satisfied_copartner,0.0021756471567504956,0.0021756471567504956,0.01456941887108206,0.5972222222222222
feature_barest_kempt_crowd,0.0006115343462198129,-0.0006115343462198129,0.009098334383882889,0.4652777777777778
feature_basaltic_arid_scallion,0.000633190673114338,0.000633190673114338,0.01656627028938764,0.5277777777777778
